               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.010573,           0.0042639,                   0,             0.53358,             0.51724,             0.49425,             0.21244,           0.0040428,           0.0013039,                   0,            0.070018,           0.0033314,           0.0033314
                   1,            0.007628,           0.0029589,                   0,             0.59864,             0.55172,             0.59558,             0.26968,           0.0037088,           0.0013002,                   0,            0.039754,           0.0064008,           0.0064008
                   2,           0.0079161,            0.002688,                   0,             0.70007,             0.44828,              0.5898,             0.27097,           0.0038651,            0.001271,                   0,           0.0092257,           0.0092062,           0.0092062
                   3,           0.0077955,            0.002696,                   0,             0.70966,             0.68966,             0.70753,             0.36435,           0.0035767,           0.0012051,                   0,            0.008812,            0.008812,            0.008812
                   4,           0.0079059,           0.0027488,                   0,             0.87028,             0.34483,              0.5457,             0.27103,           0.0034998,           0.0013436,                   0,            0.008812,            0.008812,            0.008812
                   5,           0.0074456,           0.0026249,                   0,             0.67475,             0.65517,             0.69985,             0.40018,           0.0033902,            0.001143,                   0,            0.008416,            0.008416,            0.008416
                   6,           0.0075608,           0.0027348,                   0,             0.89181,             0.72414,             0.80852,             0.43365,           0.0033196,           0.0012078,                   0,             0.00802,             0.00802,             0.00802
                   7,           0.0072569,           0.0025491,                   0,             0.63267,             0.68966,             0.71842,              0.3472,           0.0032828,           0.0012559,                   0,            0.007624,            0.007624,            0.007624
                   8,           0.0071575,           0.0024885,                   0,             0.74611,             0.51724,             0.66416,             0.33264,           0.0031461,           0.0012593,                   0,            0.007228,            0.007228,            0.007228
                   9,           0.0068023,           0.0023297,                   0,             0.64622,             0.72414,             0.73918,             0.37514,           0.0029922,           0.0012029,                   0,            0.006832,            0.006832,            0.006832
                  10,           0.0064221,           0.0022025,                   0,             0.73796,             0.62069,             0.68069,             0.34811,           0.0030236,           0.0012565,                   0,            0.006436,            0.006436,            0.006436
                  11,           0.0063612,           0.0022053,                   0,             0.74048,             0.78726,             0.78095,             0.42435,           0.0027373,           0.0011453,                   0,             0.00604,             0.00604,             0.00604
                  12,            0.005771,           0.0020354,                   0,             0.64756,             0.82373,              0.7501,             0.42818,           0.0029096,           0.0012026,                   0,            0.005644,            0.005644,            0.005644
                  13,           0.0061418,            0.002239,                   0,             0.62232,             0.72414,             0.74467,             0.42034,            0.002694,              0.0011,                   0,            0.005248,            0.005248,            0.005248
                  14,           0.0054678,           0.0020285,                   0,              0.8548,             0.81235,             0.83633,             0.49398,           0.0026102,           0.0010631,                   0,            0.004852,            0.004852,            0.004852
                  15,           0.0055533,            0.002027,                   0,             0.87907,             0.72414,             0.80346,             0.45346,           0.0027827,           0.0011573,                   0,            0.004456,            0.004456,            0.004456
                  16,           0.0052858,           0.0020221,                   0,             0.71606,             0.78288,             0.79698,              0.4779,           0.0025787,           0.0011968,                   0,             0.00406,             0.00406,             0.00406
                  17,           0.0051211,           0.0019134,                   0,             0.77147,             0.69867,             0.77183,             0.45745,           0.0027747,           0.0011187,                   0,            0.003664,            0.003664,            0.003664
                  18,           0.0046807,           0.0017785,                   0,             0.78455,             0.75354,             0.79142,             0.48571,           0.0027718,           0.0011052,                   0,            0.003268,            0.003268,            0.003268
                  19,           0.0050539,           0.0019356,                   0,             0.75821,              0.7931,             0.74646,             0.50156,           0.0024714,           0.0011543,                   0,            0.002872,            0.002872,            0.002872
                  20,           0.0050984,           0.0019253,                   0,             0.78814,              0.7931,             0.80169,             0.49924,           0.0024865,           0.0011234,                   0,            0.002476,            0.002476,            0.002476
                  21,           0.0046981,           0.0017784,                   0,             0.90313,             0.68966,              0.8159,             0.54764,           0.0023313,           0.0010714,                   0,             0.00208,             0.00208,             0.00208
                  22,           0.0041938,            0.001703,                   0,             0.75153,             0.82759,             0.81005,             0.52848,           0.0023741,            0.001087,                   0,            0.001684,            0.001684,            0.001684
                  23,           0.0043238,           0.0016944,                   0,             0.77674,             0.84002,             0.80619,             0.52322,           0.0022735,           0.0011433,                   0,            0.001288,            0.001288,            0.001288
                  24,           0.0042439,           0.0016527,                   0,             0.75133,             0.82759,             0.81481,             0.52625,           0.0023126,           0.0011809,                   0,            0.000892,            0.000892,            0.000892
